warm,cold,dry,wet,color
30,40,0,26,yellow
21,22,4,26,green
23,19,12,23,red
24,28,11,30,white
18,42,0,25,yellow
21,21,5,27,green
23,19,12,22,red
24,29,10,30,white
20,40,0,25,yellow
21,20,6,28,green
23,19,12,23,red
24,32,7,30,white
20,12,0,26,yellow
24,19,2,24,green
20,13,2,25,red
22,23,0,29,white
18,8,0,25,yellow
19,12,2,24,green
18,8,1,23,red
19,15,0,29,white
12,8,0,25,yellow
19,12,2,24,green
18,8,1,22,red
19,15,0,29,white
11,9,0,25,yellow
19,14,0,21,green
17,9,1,25,red
19,15,0,29,white
12,8,0,25,yellow
17,14,2,23,green
17,9,1,25,red
19,16,0,28,white
12,8,0,25,yellow
14,15,0,22,green
14,9,1,23,red
16,14,0,29,white
9,37,20,23,yellow
20,12,35,14,green
22,22,41,22,red
15,27,25,27,white
9,37,17,26,yellow
26,6,34,13,green
22,23,47,16,red
15,27,25,27,white
9,37,17,26,yellow
19,13,31,17,green
21,23,49,14,red
15,27,25,27,white
10,14,23,26,yellow
13,9,28,23,green
16,19,29,29,red
12,21,21,28,white
5,18,13,26,yellow
15,7,19,21,green
14,11,46,15,red
9,14,20,29,white
5,18,13,26,yellow
16,4,24,19,green
15,10,47,14,red
9,14,20,29,white
5,18,13,26,yellow
12,6,26,20,green
15,10,49,12,red
9,14,20,29,white
6,13,17,26,yellow
9,10,20,20,green
14,13,37,15,red
9,14,23,25,white
3,13,6,30,yellow
10,8,22,19,green
11,11,42,13,red
7,13,18,29,white
18,22,32,19,yellow
44,16,17,15,green
29,29,28,16,red
27,23,14,16,white
16,22,28,22,yellow
45,16,18,12,green
30,28,29,15,red
27,22,14,17,white
12,22,13,37,yellow
45,16,19,12,green
27,27,29,18,red
30,20,14,16,white
14,9,10,34,yellow
39,13,9,21,green
32,15,23,24,red
26,11,9,20,white
27,6,9,22,yellow
40,4,9,13,green
32,13,23,17,red
25,6,7,21,white
26,6,9,22,yellow
40,4,12,11,green
36,12,25,12,red
22,9,7,21,white
24,6,9,23,yellow
40,4,13,12,green
35,13,26,11,red
21,9,7,22,white
12,10,10,28,yellow
36,5,10,18,green
31,13,20,21,red
17,9,9,24,white
22,7,9,21,yellow
38,4,8,16,green
29,14,21,18,red
14,8,5,28,white
21,21,18,30,yellow
30,23,18,27,green
30,21,20,18,red
30,23,24,17,white
20,21,17,30,yellow
30,23,17,26,green
29,21,21,19,red
30,23,22,19,white
20,21,17,29,yellow
30,24,14,28,green
31,21,18,18,red
30,23,21,20,white
19,13,6,31,yellow
30,17,9,30,green
32,17,14,17,red
30,18,12,23,white
20,10,0,36,yellow
30,11,11,28,green
30,9,15,16,red
30,11,9,23,white
20,10,0,34,yellow
30,11,11,28,green
32,9,16,14,red
30,11,9,23,white
20,10,0,33,yellow
30,11,16,22,green
31,9,17,12,red
30,11,9,23,white
20,10,10,22,yellow
30,10,13,27,green
32,8,18,12,red
28,11,5,29,white
20,10,2,31,yellow
29,10,15,24,green
32,9,19,8,red
30,10,4,28,white
21,26,17,13,yellow
42,22,32,6,green
18,15,47,5,red
22,21,33,17,white
21,26,9,13,yellow
55,17,29,2,green
18,13,50,4,red
22,22,33,16,white
21,26,9,13,yellow
56,17,30,1,green
18,13,50,4,red
22,26,29,16,white
20,26,13,2,yellow
47,27,26,1,green
13,17,43,5,red
23,31,22,12,white
19,32,7,0,yellow
56,17,22,0,green
10,12,46,3,red
19,33,21,7,white
19,32,7,0,yellow
56,17,25,0,green
10,12,46,3,red
19,33,21,7,white
19,32,7,0,yellow
56,17,26,0,green
10,11,47,3,red
19,33,21,7,white
19,31,8,0,yellow
32,35,24,2,green
10,12,45,2,red
22,24,26,7,white
19,31,7,0,yellow
49,21,22,0,green
7,11,47,2,red
16,24,23,8,white
22,15,17,31,yellow
25,11,18,27,green
30,9,18,28,red
16,17,17,29,white
22,15,17,31,yellow
25,11,22,26,green
30,9,23,23,red
16,17,17,29,white
22,13,17,32,yellow
25,10,20,28,green
30,7,25,21,red
16,17,17,29,white
22,1,13,34,yellow
25,0,15,32,green
30,1,14,30,red
16,0,15,31,white
22,0,11,32,yellow
25,0,13,30,green
30,0,23,18,red
16,0,11,30,white
22,0,13,32,yellow
25,0,11,29,green
30,0,23,18,red
16,0,11,30,white
22,0,13,32,yellow
25,0,15,29,green
30,0,26,15,red
16,0,11,30,white
22,0,10,34,yellow
25,0,10,30,green
30,0,17,20,red
16,0,10,30,white
22,0,9,30,yellow
25,0,14,28,green
30,0,24,13,red
16,0,10,30,white
33,31,19,15,yellow
26,20,18,15,green
22,23,12,20,red
30,24,15,19,white
33,30,18,17,yellow
31,14,19,15,green
20,22,14,21,red
28,24,15,21,white
33,30,17,18,yellow
31,17,17,15,green
19,27,12,19,red
29,24,14,21,white
41,28,7,15,yellow
33,15,7,14,green
25,27,4,16,red
21,20,6,35,white
45,28,4,9,yellow
33,15,4,14,green
17,29,2,19,red
24,20,3,29,white
45,28,4,9,yellow
33,15,4,14,green
19,27,4,15,red
27,20,3,26,white
45,28,4,9,yellow
35,11,5,14,green
16,25,5,18,red
21,20,3,32,white
46,25,4,11,yellow
36,12,3,14,green
12,30,2,22,red
25,19,3,28,white
50,21,5,7,yellow
34,12,3,14,green
12,27,2,21,red
19,20,3,33,white
25,24,18,34,yellow
30,23,16,23,green
30,14,20,22,red
38,14,12,34,white
24,25,18,31,yellow
30,24,14,24,green
30,16,22,20,red
37,15,12,34,white
26,23,18,31,yellow
30,22,14,23,green
33,12,22,20,red
39,13,12,34,white
28,22,10,32,yellow
28,25,9,25,green
29,12,8,30,red
35,15,8,36,white
19,27,6,31,yellow
26,23,8,24,green
26,14,18,17,red
34,10,5,35,white
19,27,6,31,yellow
26,21,8,24,green
24,15,19,16,red
33,11,5,35,white
19,27,6,31,yellow
26,23,8,24,green
27,12,19,16,red
34,10,5,35,white
26,20,5,32,yellow
26,24,8,25,green
30,11,8,26,red
33,9,5,35,white
20,25,5,31,yellow
26,22,7,25,green
25,14,19,15,red
33,10,5,34,white
27,28,25,11,yellow
26,17,24,12,green
16,6,43,22,red
15,19,26,16,white
31,28,22,7,yellow
31,21,22,8,green
17,6,44,20,red
15,18,27,16,white
31,29,21,7,yellow
31,19,24,8,green
16,5,43,21,red
15,17,28,16,white
17,20,22,22,yellow
30,13,28,10,green
18,6,42,19,red
11,11,29,21,white
32,19,22,6,yellow
31,13,27,7,green
20,3,45,15,red
10,13,25,22,white
32,23,15,6,yellow
32,13,26,6,green
17,3,46,17,red
10,14,24,22,white
31,23,15,7,yellow
33,15,25,5,green
14,4,48,18,red
11,14,24,21,white
20,20,18,18,yellow
30,14,26,9,green
13,6,47,18,red
12,13,24,20,white
32,23,15,6,yellow
34,11,24,4,green
14,3,51,15,red
10,11,25,22,white
26,45,13,19,yellow
40,24,25,12,green
32,19,34,23,red
37,24,21,20,white
24,45,7,22,yellow
43,22,28,8,green
31,17,37,23,red
36,24,22,20,white
24,50,8,16,yellow
45,16,31,9,green
34,16,37,21,red
37,22,23,20,white
29,21,19,15,yellow
42,12,22,18,green
31,12,30,26,red
35,22,20,18,white
29,35,0,13,yellow
43,12,21,13,green
31,10,27,23,red
34,20,22,17,white
34,35,2,6,yellow
45,13,19,12,green
36,7,28,20,red
34,19,22,18,white
34,35,3,3,yellow
50,9,20,10,green
37,7,28,19,red
34,17,22,20,white
25,27,8,9,yellow
43,11,20,13,green
33,8,27,23,red
35,17,22,18,white
26,34,0,5,yellow
43,10,20,13,green
33,9,28,21,red
35,18,21,18,white
15,39,16,8,yellow
26,30,27,9,green
25,28,31,5,red
20,22,22,18,white
11,39,16,8,yellow
26,31,24,12,green
23,29,32,5,red
20,25,16,21,white
11,36,16,8,yellow
26,32,21,15,green
25,27,32,5,red
20,26,13,22,white
16,20,8,8,yellow
28,29,19,12,green
27,19,17,6,red
21,15,14,15,white
16,23,1,8,yellow
28,25,14,11,green
25,18,18,5,red
20,18,8,17,white
11,23,4,5,yellow
28,27,13,11,green
26,17,18,5,red
20,21,5,17,white
11,23,4,5,yellow
28,23,19,9,green
27,16,18,5,red
20,23,4,16,white
11,18,4,5,yellow
28,27,18,8,green
27,17,16,3,red
20,21,7,13,white
11,21,3,2,yellow
27,24,17,7,green
24,12,16,3,red
20,22,5,13,white
10,34,11,20,yellow
32,18,18,31,green
32,13,20,33,red
29,17,21,31,white
10,32,13,20,yellow
41,8,20,30,green
30,15,23,30,red
30,17,18,33,white
10,34,11,12,yellow
39,8,19,33,green
28,18,22,30,red
27,20,18,33,white
10,32,11,10,yellow
32,12,13,39,green
25,21,17,33,red
23,21,14,37,white
8,30,10,9,yellow
41,6,15,29,green
25,18,17,30,red
18,20,7,39,white
8,32,0,9,yellow
40,6,13,32,green
24,19,17,30,red
19,19,7,39,white
8,32,0,9,yellow
39,5,16,31,green
26,17,17,30,red
20,18,7,39,white
11,28,1,9,yellow
35,8,10,37,green
25,21,10,34,red
23,15,8,36,white
9,29,1,9,yellow
40,4,13,32,green
21,22,14,32,red
17,21,7,38,white
21,9,27,27,yellow
40,7,23,5,green
13,3,28,7,red
21,15,42,24,white
30,9,27,18,yellow
41,6,26,1,green
12,3,28,8,red
21,14,41,26,white
30,9,28,17,yellow
38,6,22,6,green
13,3,28,7,red
31,14,39,18,white
19,6,26,20,yellow
30,1,24,8,green
11,6,14,15,red
20,6,35,28,white
32,3,27,4,yellow
33,0,23,2,green
14,1,17,6,red
20,5,36,21,white
32,3,29,2,yellow
33,0,22,2,green
13,1,17,7,red
19,2,38,23,white
32,3,26,5,yellow
33,0,20,3,green
14,1,17,6,red
25,3,36,18,white
23,5,22,14,yellow
33,1,22,0,green
9,1,15,12,red
14,9,33,26,white
32,3,23,6,yellow
33,0,21,2,green
10,1,16,10,red
19,5,31,23,white
22,29,21,18,yellow
31,17,17,11,green
28,12,38,8,red
18,32,27,21,white
20,28,21,21,yellow
33,14,16,12,green
23,7,44,13,red
18,34,25,21,white
17,28,20,24,yellow
33,17,14,11,green
24,6,44,13,red
18,34,25,21,white
15,27,12,23,yellow
29,14,12,15,green
29,13,18,15,red
24,29,22,15,white
17,26,12,17,yellow
27,12,9,11,green
25,5,29,6,red
19,27,15,14,white
12,26,1,33,yellow
28,8,12,12,green
20,9,30,5,red
19,26,16,14,white
16,26,1,29,yellow
28,9,12,9,green
20,11,30,4,red
20,27,15,13,white
14,22,8,27,yellow
27,9,11,12,green
22,12,24,7,red
21,16,22,16,white
12,22,2,29,yellow
28,8,12,5,green
15,9,27,5,red
20,15,16,16,white
3,54,22,33,yellow
31,22,31,16,green
19,18,28,24,red
32,27,19,35,white
0,56,20,17,yellow
32,25,28,14,green
17,15,30,27,red
32,26,19,36,white
0,56,15,17,yellow
32,24,26,16,green
21,16,28,24,red
37,25,19,32,white
13,37,14,17,yellow
30,22,16,18,green
18,20,14,28,red
31,25,14,39,white
2,51,9,16,yellow
29,21,11,18,green
23,13,14,22,red
31,23,8,40,white
3,51,6,15,yellow
30,17,15,17,green
21,10,15,26,red
31,23,8,40,white
9,51,5,9,yellow
31,21,12,16,green
19,15,15,23,red
30,23,8,41,white
5,47,2,17,yellow
29,24,11,18,green
19,17,8,28,red
34,22,9,37,white
2,51,2,16,yellow
31,19,8,18,green
21,15,10,22,red
35,21,7,36,white
